image_id,username,imageZoomR
C1,P1,1.413
C1,P10,3.637472972972973
C1,P11,0.4446666666666667
C1,P2,3.6976756756756757
C1,P3,1.587421052631579
C1,P4,1.1288571428571428
C1,P5,1.8727692307692305
C1,P6,0.44275
C1,P7,1.5212
C1,P8,0.483
C1,P9,0.9685161290322581
C10,P1,5.506703910614525
C10,P10,3.7246923076923077
C10,P11,6.7273037974683545
C10,P2,9.925013215859032
C10,P3,4.963435897435898
C10,P4,4.060126315789473
C10,P5,3.534132231404959
C10,P6,2.8487768115942034
C10,P7,5.0550625
C10,P8,1.05968
C10,P9,8.354347712418301
C11,P1,2.292842105263158
C11,P10,4.8600703125
C11,P11,4.7390725806451615
C11,P2,8.4634
C11,P3,2.5143333333333335
C11,P4,4.922864864864865
C11,P5,2.371886178861789
C11,P6,1.5712244897959182
C11,P7,2.344466666666667
C11,P8,1.8995094339622642
C11,P9,2.400956375838926
C12,P1,2.2940842105263157
C12,P10,5.505264317180616
C12,P11,4.092944444444445
C12,P2,3.8920223463687154
C12,P3,2.780735426008969
C12,P4,2.8511735159817353
C12,P5,6.497198511166253
C12,P6,1.2211052631578947
C12,P7,2.419643835616438
C12,P8,1.0319384615384615
C12,P9,3.3047640449438207
C13,P1,3.1612658227848103
C13,P10,5.198724867724867
C13,P11,7.431825581395349
C13,P2,5.895548872180451
C13,P3,2.0225242718446603
C13,P4,3.5983059360730594
C13,P5,3.648573770491803
C13,P6,1.4071923076923079
C13,P7,1.2054256410153847
C13,P8,1.8456923076923077
C13,P9,2.0853305439330545
C14,P1,2.0724444444444448
C14,P10,3.373050314465409
C14,P11,3.9686206896551726
C14,P2,6.309682926829268
C14,P3,2.8184913793103448
C14,P4,4.457030651340997
C14,P5,3.8481262135922334
C14,P6,1.3326736842105262
C14,P7,2.7280814814814813
C14,P8,2.2512649572649575
C14,P9,6.630354289551111
C15,P1,2.1761052631578948
C15,P10,4.377978947368422
C15,P11,4.599804878048781
C15,P2,4.648666666666667
C15,P3,1.952065573770492
C15,P4,7.2454098360655745
C15,P5,3.9791428571428575
C15,P6,1.9632093023255814
C15,P7,4.1006347517340425
C15,P8,9.910527607361963
C15,P9,4.655530303030303
C16,P1,9.656104046242776
C16,P10,3.479606936416185
C16,P11,7.770670588235295
C16,P2,8.831745454545453
C16,P3,6.501617021276596
C16,P4,9.735807560137456
C16,P5,3.9749876543209877
C16,P6,2.02984
C16,P7,0.536
C16,P8,2.951921568627451
C16,P9,3.560411214953271
C17,P1,2.163473684210526
C17,P10,2.9436369636963695
C17,P11,3.988112994350282
C17,P2,2.2987162162162162
C17,P3,1.8326075949367087
C17,P4,6.123089514066496
C17,P5,2.869076923076923
C17,P6,1.1692340425531915
C17,P7,1.6492
C17,P8,0.8929850746268656
C17,P9,1.525294964028777
C18,P1,3.028492957746479
C18,P10,4.572968085106383
C18,P11,0.5154545454545455
C18,P2,1.5935813953488371
C18,P3,4.211724137931035
C18,P4,10.267377049180329
C18,P5,1.5092727272727273
C18,P6,1.779979166666667
C18,P7,2.2634545454545454
C18,P8,1.0605806451612902
C18,P9,2.3713125
C19,P1,0.38422222222222224
C19,P10,0.8577808219178082
C19,P11,0.36100000000000004
C19,P2,4.569680672268908
C19,P3,0.9957894736842107
C19,P4,0.768451612903226
C19,P5,1.5304918032786885
C19,P6,0.4123
C19,P7,0.36589655172413793
C19,P8,0.3546666666666667
C19,P9,0.5662574257425742
C2,P1,2.304086956521739
C2,P10,3.048932584269663
C2,P11,7.7091656441717795
C2,P2,4.164122807017543
C2,P3,9.010283400809717
C2,P4,7.654730964467005
C2,P5,3.5566382978723405
C2,P6,3.494486301369863
C2,P7,3.4510517241120686
C2,P8,3.768915887850467
C2,P9,1.997621052631579
C20,P1,3.500307692307693
C20,P10,4.591181818181819
C20,P11,5.327474402730376
C20,P2,3.9946530612244904
C20,P3,4.818879432624113
C20,P4,10.030460258780037
C20,P5,4.078875
C20,P6,1.405
C20,P7,1.0805333333333331
C20,P8,1.536659090909091
C20,P9,3.161365269461078
C21,P1,2.688054054054054
C21,P10,2.990509433962264
C21,P11,1.735529411764706
C21,P2,4.971683333333333
C21,P3,2.3878
C21,P4,1.2878367346938775
C21,P5,3.6897951807228915
C21,P6,1.0464761904761903
C21,P7,3.23735
C21,P8,3.317142857142857
C21,P9,1.1945000000000001
C22,P1,2.265372093023256
C22,P10,3.6583460207612455
C22,P11,3.984825
C22,P2,6.336165217391304
C22,P3,2.273392405063291
C22,P4,4.189394422310757
C22,P5,4.472285714285714
C22,P6,1.6262545454545454
C22,P7,3.0715529411764706
C22,P8,1.8318666666666665
C22,P9,1.5371764705882354
C23,P1,6.3751503267941185
C23,P10,4.417782945736434
C23,P11,8.26089247311828
C23,P2,3.855029411764706
C23,P3,10.91973
C23,P4,11.705005870841488
C23,P5,2.6223529411764708
C23,P6,1.831270588235294
C23,P7,4.609
C23,P8,11.302359712230215
C23,P9,2.45152
C24,P1,3.174760563380282
C24,P10,6.489115384615385
C24,P11,2.305617021276596
C24,P2,4.025822222222223
C24,P3,5.893611650485437
C24,P4,3.130451612903226
C24,P5,2.8571818181818185
C24,P6,1.79825
C24,P7,2.8932080745341615
C24,P8,3.981025641025641
C24,P9,3.6156119402985074
C25,P1,1.3034848484848485
C25,P10,3.822812030075188
C25,P11,4.333082802547771
C25,P2,7.70114450867052
C25,P3,12.225337175792507
C25,P4,4.403062801932367
C25,P5,3.0497161290322583
C25,P6,1.2489166666666667
C25,P7,1.4477843137254902
C25,P8,1.52024
C25,P9,6.336186666666667
C26,P1,2.573653846153846
C26,P10,4.163174825174825
C26,P11,7.777041666666666
C26,P2,6.447093333333333
C26,P3,4.040875
C26,P4,7.057611307420495
C26,P5,3.294857142857143
C26,P6,3.7677241379310344
C26,P7,3.6562489583124997
C26,P8,0.6142142857142857
C26,P9,5.191291666666666
C27,P1,2.1892761904761904
C27,P10,5.878819338422392
C27,P11,3.6529514563106797
C27,P2,5.561512820512821
C27,P3,2.5275723270440253
C27,P4,2.6539594594594593
C27,P5,2.2983048780487807
C27,P6,1.4845
C27,P7,2.628648148148148
C27,P8,2.8219444444444446
C27,P9,2.2683764705882354
C28,P1,2.1366341463414633
C28,P10,3.4878454545454547
C28,P11,2.9822396313364052
C28,P2,4.381099526066351
C28,P3,2.425139534883721
C28,P4,5.341158415841584
C28,P5,2.0487865168539323
C28,P6,1.8203272727272726
C28,P7,4.161013157894737
C28,P8,1.0893809523809523
C28,P9,3.5207013333333332
C29,P1,1.8842204724409448
C29,P10,3.2618736059479554
C29,P11,4.327589285714286
C29,P2,2.702559139784946
C29,P3,2.3053032258064516
C29,P4,3.475019512195122
C29,P5,1.360923076923077
C29,P6,0.937378640776699
C29,P7,2.0077692307692305
C29,P8,0.8799148936170214
C29,P9,1.969732484076433
C3,P1,1.1157826086956522
C3,P10,3.9426376811594204
C3,P11,3.3732065217391303
C3,P2,4.144
C3,P3,8.670575999999999
C3,P4,6.111928571428571
C3,P5,6.303900621118013
C3,P6,1.3988717948717948
C3,P7,1.4688148148148148
C3,P8,0.7188181818181818
C3,P9,2.402737704918033
C30,P1,2.333463414634146
C30,P10,4.334130268199234
C30,P11,4.10935691318328
C30,P2,5.693795918367346
C30,P3,3.0162953020134227
C30,P4,4.24655305466238
C30,P5,1.2060571428571427
C30,P6,2.607980198019802
C30,P7,3.6227518797105263
C30,P8,2.317081081081081
C30,P9,4.181703125
C31,P1,3.1258431372549023
C31,P10,7.538729729729729
C31,P11,5.358
C31,P2,6.86036170212766
C31,P3,5.625247524752475
C31,P4,2.620228070175439
C31,P5,4.922741935483872
C31,P6,1.3584285714285715
C31,P7,9.472571428510205
C31,P8,1.1197894736842104
C31,P9,2.0937704918032787
C32,P1,2.5800194174757283
C32,P10,3.609958620689655
C32,P11,3.149323943661972
C32,P2,5.144151162790697
C32,P3,3.531230769230769
C32,P4,1.6146415094339623
C32,P5,2.45078431372549
C32,P6,1.9132173913043478
C32,P7,1.1929999999999998
C32,P8,2.3339375
C32,P9,1.4914179104477612
C33,P1,0.4577333333333333
C33,P10,0.7828109756097561
C33,P11,0.4227272727272728
C33,P2,1.3934761904761903
C33,P3,0.39454545454545453
C33,P4,0.9077708333333333
C33,P5,0.6652941176470588
C33,P6,0.4305555555555556
C33,P7,0.906855345918868
C33,P8,0.4391666666666667
C33,P9,0.430204081632653
C34,P1,2.9168627450980398
C34,P10,8.535013888888889
C34,P11,2.8804000000000003
C34,P2,7.7845555555555555
C34,P3,7.327641025641026
C34,P4,3.0682222222222224
C34,P5,2.671891891891892
C34,P6,3.602869565217391
C34,P7,2.4798333333208333
C34,P8,4.0223157894736845
C34,P9,1.623
C35,P1,0.49475555555555556
C35,P10,4.11984
C35,P11,0.33894117647058825
C35,P2,5.124985507246376
C35,P3,1.0305185185185186
C35,P4,1.448896551724138
C35,P5,2.037079365079365
C35,P6,0.39306666666666673
C35,P8,0.7046956521739132
C35,P9,0.8588387096774193
C36,P1,2.1105555555555555
C36,P10,3.7435180722891563
C36,P11,5.676576
C36,P2,11.372418032786884
C36,P3,2.2970526315789477
C36,P4,3.510067415730337
C36,P5,3.164857142857143
C36,P6,1.642357142857143
C36,P7,3.4742820512820516
C36,P8,2.861483870967742
C36,P9,2.21830303030303
C37,P1,2.3906268656716416
C37,P10,3.580628205128205
C37,P11,5.055260714285715
C37,P2,7.827968944099379
C37,P3,6.765589958158996
C37,P4,2.7167118644067796
C37,P5,2.185921568627451
C37,P6,1.2948695652173914
C37,P7,1.6703913043478262
C37,P8,1.160421052631579
C37,P9,1.6710491803278689
C38,P1,2.220139534883721
C38,P10,7.801933014354067
C38,P11,6.167732620320855
C38,P2,5.4079069767441865
C38,P3,4.576854368932039
C38,P4,8.1549410430839
C38,P5,3.7829206349206346
C38,P6,6.453900826446281
C38,P7,3.637450704225352
C38,P8,2.132764705882353
C38,P9,3.345920552673575
C39,P1,4.271774436090226
C39,P10,3.462646616541354
C39,P11,5.344106060606061
C39,P2,5.870590909090908
C39,P3,4.780857142857143
C39,P4,6.268891891891892
C39,P5,9.946848275868966
C39,P6,5.00546875
C39,P7,2.1404285714285716
C39,P8,1.503551724137931
C39,P9,5.193428571428571
C4,P1,3.1605476190476187
C4,P10,10.38007874015748
C4,P11,6.57913698630137
C4,P2,5.305868131868132
C4,P3,2.6590175438596493
C4,P4,9.995738666666666
C4,P5,3.191245283018868
C4,P6,2.86892
C4,P7,3.077216216216216
C4,P8,1.7897551020408162
C4,P9,3.8227200000000003
C40,P1,2.025717948717949
C40,P10,2.7738715596330272
C40,P11,4.60428125
C40,P2,4.766933333333333
C40,P3,5.912740740740741
C40,P4,8.617660130718955
C40,P5,7.361673640167364
C40,P6,1.1204444444444444
C40,P7,4.088625
C40,P8,0.5328333333333334
C40,P9,4.067466666666666
C41,P1,5.398181818181818
C41,P10,5.070654545454546
C41,P11,4.785434210526316
C41,P2,9.639060606060605
C41,P3,3.0838260869565217
C41,P4,9.934362068965516
C41,P5,2.4796153846153848
C41,P6,1.7535593220288137
C41,P7,4.101277777777778
C41,P8,2.2543142857142855
C41,P9,4.266377952755906
C42,P1,2.7834606741573036
C42,P10,6.160766423357664
C42,P11,6.764374489795919
C42,P2,4.5904444444444445
C42,P3,3.168861788617886
C42,P4,8.83665
C42,P5,1.725542857142857
C42,P6,1.8899666666666666
C42,P7,1.5864722222222223
C42,P8,2.1098380952328575
C42,P9,4.665594405594406
C43,P1,1.4996842105263157
C43,P10,4.076743362831858
C43,P11,3.546585152838428
C43,P2,4.367768115942028
C43,P3,1.8159381443298968
C43,P4,6.0534111842105265
C43,P5,2.6673432835820896
C43,P6,1.688236111125
C43,P7,1.5767333333425
C43,P8,0.6492272727272727
C43,P9,3.4976860696567162
C44,P1,0.8875833333333333
C44,P10,2.8151275167785235
C44,P11,0.37417391304347825
C44,P2,1.8988615384615386
C44,P3,4.308857142857144
C44,P4,1.0365070422535212
C44,P5,0.8261111111111111
C44,P6,0.186875
C44,P7,0.48529729729729726
C44,P8,0.6583125000000001
C44,P9,0.3981636363636364
C45,P1,1.7332444444444444
C45,P10,6.66000193236715
C45,P11,5.955653465346535
C45,P2,8.838323353293413
C45,P3,3.068943396226415
C45,P4,3.5845517241379308
C45,P5,3.3813246753246755
C45,P6,8.060930481283423
C45,P7,3.4946052631578945
C45,P8,0.9070769230769231
C45,P9,3.9845454545454544
C46,P1,1.1102272727272728
C46,P10,1.8720377358490567
C46,P11,1.439
C46,P2,4.45681081081081
C46,P3,3.5705
C46,P4,1.6129565217391304
C46,P5,7.2913289855072465
C46,P6,0.35381818181818186
C46,P7,1.211448275862069
C46,P8,0.30888888888888894
C46,P9,1.816521739130435
C47,P1,3.0923548387096775
C47,P10,5.0509544235924935
C47,P11,1.329909090909091
C47,P2,7.766462032085562
C47,P3,2.946390243902439
C47,P4,1.7847346938775512
C47,P5,2.5390181818181823
C47,P6,0.8674444444444445
C47,P7,0.13
C47,P8,1.3456875000000001
C47,P9,2.3516153846153847
C48,P1,2.4460869565217394
C48,P10,3.05765
C48,P11,6.2706748466257665
C48,P2,8.91395652173913
C48,P3,10.38843579766537
C48,P4,6.12941908713693
C48,P5,8.25828947368421
C48,P6,4.6771290322580645
C48,P7,3.0357818181818184
C48,P8,0.625904761904762
C48,P9,2.334356164383562
C49,P1,2.9717260273972603
C49,P10,6.096609756097561
C49,P11,4.817570552147239
C49,P2,10.674162534435261
C49,P3,2.947705426356589
C49,P4,2.888909090909091
C49,P5,3.930861111111111
C49,P6,1.5225625
C49,P7,1.1154285714285714
C49,P8,0.9981777777777777
C49,P9,4.30735
C5,P1,1.0265106382978724
C5,P10,4.107225806451613
C5,P11,0.5072666666666666
C5,P2,4.303018018018018
C5,P3,1.187357142857143
C5,P4,0.6656000000000001
C5,P5,1.6449677419354838
C5,P6,0.4280952380952381
C5,P7,1.18548
C5,P8,0.41333333333333333
C5,P9,0.6587868852459017
C50,P1,1.8972470588235293
C50,P10,2.7512420091324197
C50,P11,4.68897520661157
C50,P2,1.58066
C50,P3,2.8438461538461537
C50,P4,5.119736462093862
C50,P5,2.078572463768116
C50,P6,1.2786760563380282
C50,P7,1.5308181818181816
C50,P8,0.4364761904761905
C50,P9,1.544864864864865
C51,P1,2.503388888888889
C51,P10,4.3753631840796015
C51,P11,0.5293333333333333
C51,P2,9.107192307692308
C51,P3,1.8911428571428572
C51,P4,1.959
C51,P5,1.8869811320754717
C51,P6,0.34509090909090906
C51,P7,0.37281632653061225
C51,P8,2.013793103448276
C51,P9,1.313135135135135
C52,P1,2.7246428571428574
C52,P10,4.125180555555556
C52,P11,4.966437158469946
C52,P2,6.4907676767676765
C52,P3,3.5233846153846153
C52,P4,12.260877934272301
C52,P5,3.00895
C52,P6,1.7328823529411765
C52,P7,2.525893939409091
C52,P8,1.179657142857143
C52,P9,6.123892961078534
C53,P1,1.5490731707317074
C53,P10,3.6887902097902097
C53,P11,3.21534693877551
C53,P2,2.6466153846153846
C53,P3,2.3025982905982905
C53,P4,4.053708609271523
C53,P5,0.9835294117647058
C53,P6,2.460950495049505
C53,P7,3.5768163265306123
C53,P8,1.8788372093023253
C53,P9,1.6990598290598289
C54,P1,1.61179797979798
C54,P10,2.210223214285714
C54,P11,2.253573333333333
C54,P2,3.8155
C54,P3,2.6404933333333336
C54,P4,1.3025272727272728
C54,P5,3.9646899224806202
C54,P6,1.6512244897959183
C54,P7,2.771726396913295
C54,P8,3.7615882352941172
C54,P9,1.9514022988505746
C55,P1,1.2238518518518517
C55,P10,1.800795918367347
C55,P11,0.33381818181818185
C55,P2,4.125235294117647
C55,P3,2.2167083333333335
C55,P4,1.262
C55,P5,1.1732727272727272
C55,P6,0.34971428571428576
C55,P7,0.8032105263157895
C55,P8,1.0534666666666666
C55,P9,0.3461818181818182
C56,P1,1.2106153846153846
C56,P10,3.1870113636363637
C56,P11,0.6491111111111111
C56,P2,1.010878048780488
C56,P3,3.0245
C56,P4,1.4243703703703703
C56,P5,1.9144571428571429
C56,P6,0.3813571428571429
C56,P7,2.1266724137931035
C56,P8,0.664
C56,P9,0.6254366197183099
C57,P1,2.9131333333333336
C57,P10,4.524014598540146
C57,P11,5.797777777777777
C57,P2,7.952697388663594
C57,P3,2.647375
C57,P4,3.567644042233937
C57,P5,3.0204750000000002
C57,P6,5.6280526316052635
C57,P7,2.2807745901639347
C57,P8,1.1306285714285715
C57,P9,4.625527607361963
C58,P1,8.073405063291139
C58,P10,6.682123456790123
C58,P11,3.974888888888889
C58,P2,7.7351282051282055
C58,P3,6.165030303030303
C58,P4,10.489391304347826
C58,P5,2.56608
C58,P6,0.8358333333333333
C58,P7,1.8339038461538462
C58,P8,3.1908125
C58,P9,1.793826086956522
C59,P1,2.4046666666666665
C59,P10,3.162786610878661
C59,P11,5.447987341772151
C59,P2,5.130886075949367
C59,P3,5.510884792626729
C59,P4,3.206044642857143
C59,P5,2.2051726618705034
C59,P6,1.127
C59,P7,2.23456
C59,P8,1.0665499999999999
C59,P9,2.599292307692308
C6,P1,1.4943448275862068
C6,P10,4.638098522167487
C6,P11,4.0779487179487175
C6,P2,8.413146341463415
C6,P3,3.0406666666666666
C6,P4,3.317267973856209
C6,P5,1.8045681818181818
C6,P6,2.7679206349206353
C6,P7,1.563
C6,P8,0.8156129032258065
C6,P9,1.5438648648648647
C60,P1,2.1593559322033897
C60,P10,7.31639446366782
C60,P11,3.6146280991735535
C60,P2,3.7692830188679247
C60,P3,2.0816774193548384
C60,P4,3.867123287671233
C60,P5,9.42374213836478
C60,P6,1.1136363636363635
C60,P7,1.2811066666666666
C60,P8,1.4510344827586206
C60,P9,2.5294772727272727
C7,P1,1.7760246913580247
C7,P10,3.488853801169591
C7,P11,7.721964071856287
C7,P2,11.78763076923077
C7,P3,1.5859999999999999
C7,P4,5.8571097922848665
C7,P5,7.59528
C7,P6,2.606
C7,P7,2.1378652094721313
C7,P8,2.211846153846154
C7,P9,8.446456790123458
C8,P1,2.8836875
C8,P10,2.969009174311927
C8,P11,4.814791666666667
C8,P2,4.608513513513514
C8,P3,1.8668888888888888
C8,P4,4.823169230769231
C8,P5,2.0833461538461537
C8,P6,1.699
C8,P7,0.195
C8,P8,1.0450303030303032
C8,P9,1.3947619047619046
C9,P1,1.3936153846153847
C9,P10,6.954454081632654
C9,P11,5.800947368421053
C9,P2,3.218256880733945
C9,P3,2.5186301369863013
C9,P4,3.9475888888888893
C9,P5,4.281891428571429
C9,P6,1.443625
C9,P7,1.4007500000000002
C9,P8,1.1717142857142857
C9,P9,0.9973506493506492
